course_code,course_title,course_description
AFST 205,Introduction to Africana Studies,"CSI ALV An introduction to the diverse field of critical inquiry called Africana Studies through explorations of the links and disjunctures in the experiences, histories, and cultural, political, and intellectual practices of Africans and African descendants throughout Africa’s diasporas. Students may take only one of AFST 205, AFST 100 or 150 when using Intro to Africana Studies toward the major or minor in Africana Studies."
AFST 210,"Medicine, Arts, and Social Justice","ALV CSI The course examines the nature of inequalities in the health professions and the communities they serve in order to explore routes to freedom and equality for those who have been voiceless and often under-represented in the medical professions. It also seeks to augment the creativity and the reflective capacity of students who may be exploring such careers and to improve their abilities to become reflective and resilient practitioners by engaging stories from the experiences of Asian/American and African/American peoples. It is for inquiring minds seeking solutions to health problems that plague our diverse and varied communities. We will further explore pathways for literary scholars, storytellers, activists, helpers and healers to address these issues through science, technology, engineering, mathematics and the arts in the spirit of “authentic excellence.”"
AFST 218,Introduction to Caribbean Cultures & Identities,"The primary goal of this course is to explore scholarly research and cultural materials dealing with Caribbean identity. We will survey,examine, and discuss issues that bear on Caribbean identities including topics in contemporary language use and policy, literature, music, and other forms of popular media (television, radio, newspapers, etc.) to illustrate how various islands in the Caribbean identify and distinguish themselves from others. The course will focus on theory-based and research oriented information as well as critical essays and popular media that will provide you with knowledge to havean intelligent and informed discussion about issues dealing with Caribbean identities."
AFST 235,African American History to Emancipation,CSI ALV A survey of African American history from the colonial period to emancipation. Cross-listed with: HIST 235
AFST 236,African American History since Emancipation,CSI A survey of African American history from the colonial period to emancipation. Cross-listed with: HIST 236
AFST 250,African-American English,"CSI ALV This course explores the sociolinguistics of English spoken by African-Americans in the United States. We examine the relationship of African-American English to linguistic theory, education praxis, and American culture. Cross-listed with: LING 250"
AFST 251,Soon Come: Caribbean Languages and Identities,"CSI ALV This course explores the history, structure, and sociocultural aspects of language development in the Caribbean. This course explores the history, structure, and sociocultural aspects of language development in the Caribbean. Cross-listed with: LAS 251"
AFST 281,Ancient African History,"This course covers African history before AD 600, with emphasis on political and cultural histories of ancient cities and states. It is a more focused survey than HIST 181, but it has no prerequisites and assumes no prior knowledge of Africa. Cross-listed with: HIST 281"
AFST 282,Medieval African History,"This course covers African history between 600 and 1500, with emphasis on the influence of Islam and changing commercial networks. It is a more focused survey than HIST 181, but it has no prerequisites and assumes no prior knowledge of Africa. Cross-listed with: HIST 282"
AFST 283,Early Modern African History,"This course covers African history between 1500 and 1800, particularly Africa’s changing relationship with Western Europe and the Americas. It is a more focused survey than HIST 181, but it has no prerequisites and assumes no prior knowledge of Africa. Cross-listed with: HIST 283"
AFST 299,Research Methods in Africana Studies,"This course offers an introduction to the methods and methodologies that scholars in Africana Studies use to create knowledge about the African diaspora. Instead of focusing on “what we know,” this class asks students to think seriously about the issue of “how we know.” We cover the qualitative techniques and theoretical perspectives that many academics use in order to conduct research in Africana Studies. Africana Studies is an interdisciplinary discipline, thus, in order to accurately represent the techniques of the field we must cover interdisciplinary research methods and methodologies. The course does not provide a traditional chronological survey of a topic or focus primarily on one geographic area. Instead, the selected readings either describe or model a specific method or methodology. By the end of the semester, each student will create an original research prospectus."
AFST 300,Pan-Africanism: History of a Revolutionary Idea,"This course surveys the history of Pan-Africanism, a global political movement that considers Africans and diasporic blacks to have a common history, present and future, often proclaiming an objective of African political, socio-economic and cultural self-determination and asserting a fierce pride in African history and culture. Cross-listed with: HIST 316"
AFST 301,Critical Debates in Africana Studies,Prerequisite(s): AFST 205 . Course provides an in-depth study and discussion of a specific issue of significant debate in Africana Studies. Topics may vary by semester. This writing-intensive seminar satisfies the major writing requirement.
AFST 304,Introduction to the African Diaspora,"Reviews the dispersions of peoples from the African continent since ancient times. Major themes include the Atlantic Slave Trade, the post-emancipation fight for full citizenship in the Americas, and interactions between diasporic blacks and Africans. Cross-listed with: HIST 323"
