Unnamed: 0,CCC Course,CCC Description,UCSC Course Code,UCSC Course Title,UCSC Description
0,CIS 35 Mobile Game Development,Presents an overview of mobile devices and instruction for building mobile games.,CMPM 80K,Foundations of Video Game Design,"Explores how video games (and games broadly) shape experiences and express ideas. Students develop novel games, interpret games, and survey related topics. No programming experience is required. All offerings support students with required synchronous section meetings and optional synchronous events."
1,TA 74 Acting for Musical Theatre,"Examines the study of basic techniques of musical theatre performance including music and text analysis and scene work that includes singing, choreography, and dialogue.",THEA 20,Introductory Studies in Acting,Introduction to basic acting skills and the problems of performance. Concentrates on expanding a range of expression and ability to respond to and analyze dramatic text. Designed for students with little or no experience in acting.
2,TA 7 Introduction to Acting,"Presents the basic techniques of performance on stage focusing on the theatrical imagination. Explores movement, voice, improvisation, scene interpretation, and other aspects of the actor in production. For theatre and non-theatre majors.",THEA 20,Introductory Studies in Acting,Introduction to basic acting skills and the problems of performance. Concentrates on expanding a range of expression and ability to respond to and analyze dramatic text. Designed for students with little or no experience in acting.
3,MUS 75 Musical Theatre Production,Rehearsal and performance of musical and musical comedy literature with a concentration on all aspects of the production related to professional performance; audition by musical theatre staff is required for enrollment.,THEA 20,Introductory Studies in Acting,Introduction to basic acting skills and the problems of performance. Concentrates on expanding a range of expression and ability to respond to and analyze dramatic text. Designed for students with little or no experience in acting.
4,TA 29 Rehearsal and Performance,Presents the rehearsal and performance of the Theatre Arts stage production for the current semester. Must audition and be cast in current Theatre Arts production.,THEA 20,Introductory Studies in Acting,Introduction to basic acting skills and the problems of performance. Concentrates on expanding a range of expression and ability to respond to and analyze dramatic text. Designed for students with little or no experience in acting.
5,TA 10A Basic Acting Techniques,"Examines major theories of acting within a framework of lecture, exercises and scene work; focus is on characterization, theatrical imagination, stage movement and vocal projection.",THEA 20,Introductory Studies in Acting,Introduction to basic acting skills and the problems of performance. Concentrates on expanding a range of expression and ability to respond to and analyze dramatic text. Designed for students with little or no experience in acting.
6,TA 13A Beginning Improvisation,"Exploration of theater games and improvisation to develop group consciousness and trust with ensemble-building techniques incorporating: movement, imagination, enthusiasm, curiosity, collaboration techniques, and appropriate risk-taking. For actors and those working in careers requiring negotiation and collaboration, emphasizing skills in listening, speaking and observing. Covers the creation of nonscripted life stories and situations.",THEA 20,Introductory Studies in Acting,Introduction to basic acting skills and the problems of performance. Concentrates on expanding a range of expression and ability to respond to and analyze dramatic text. Designed for students with little or no experience in acting.
7,TA 75 Musical Theatre Production,Rehearsal and performance of musical and musical comedy literature with a concentration on all aspects of the production related to professional performance; audition by musical theatre staff is required for enrollment.,THEA 20,Introductory Studies in Acting,Introduction to basic acting skills and the problems of performance. Concentrates on expanding a range of expression and ability to respond to and analyze dramatic text. Designed for students with little or no experience in acting.
8,TA 10B Intermediate Acting,"Explores at an intermediate level theories, techniques and acting styles use in the preparation and performance of a theatrical role. Emphasizes deepening understanding of the acting process through character analysis.",THEA 20,Introductory Studies in Acting,Introduction to basic acting skills and the problems of performance. Concentrates on expanding a range of expression and ability to respond to and analyze dramatic text. Designed for students with little or no experience in acting.
9,TA 10C Advanced Acting,"Presents intensive script analysis, scene study (period and modern) and critiques using in-class rehearsals and performances of student selected scenes building upon skills learned in Intermediate Acting.",THEA 20,Introductory Studies in Acting,Introduction to basic acting skills and the problems of performance. Concentrates on expanding a range of expression and ability to respond to and analyze dramatic text. Designed for students with little or no experience in acting.
10,TA 13B Intermediate Improvisation,Explores improvisation at an intermediate level deepening the experience with a wider variety of improvisational techniques and their applications.,THEA 20,Introductory Studies in Acting,Introduction to basic acting skills and the problems of performance. Concentrates on expanding a range of expression and ability to respond to and analyze dramatic text. Designed for students with little or no experience in acting.
