,CCC Course,CCC Description,UCSC Course Code,UCSC Course Title,UCSC Description
0,CIS 35 Mobile Game Development,Presents an overview of mobile devices and instruction for building mobile games. May be offered in a distance-learning format. Transfer Information: Transferable to both UC and CSU Limitations on Enrollment: None Requisites:,CMPM 80K,Foundations of Video Game Design,"Explores how video games (and games broadly) shape experiences and express ideas. Students develop novel games, interpret games, and survey related topics. No programming experience is required. All offerings support students with required synchronous section meetings and optional synchronous events."
1,TA 74 Acting for Musical Theatre,"Examines the study of basic techniques of musical theatre performance including music and text analysis and scene work that includes singing, choreography, and dialogue. May be offered in a distance-learning format. Transfer Information: Transferable to both UC and CSU Limitations on Enrollment: None Requisites: None Additional Requisite Information: None Toggle Additional Course Details Grade Options: Letter Grade Methods Pass/No Pass Fees: Materials fee may apply. Repeatability: Not repeatable Toggle General Education and Transfer Options Toggle Learning Outcomes Upon successful completion of this course, students should be prepared to: 1. Investigate, analyze and perform selections from musical theater utilizing performance skills which incorporate musical, dramatic and dance components. Toggle Units and Hours Minimum Credit Units 3.0 Total Course In-Class (Contact) Hours 72.0 Maximum Credit Units 3.0 Detail Weekly Student Hours In Class Lecture Hours 3.0 Lab Hours 1.0 Activity Hours 0.0 Course Student Hours Course Duration (Weeks) 18.0 Hours per unit divisor 54.0 Course In-Class (Contact) Hours Lecture 54.0 Lab 18.0 Activity 0.0 Total 72.0 See Open Sections Connect with an Academic Counselor",THEA 20,Introductory Studies in Acting,Introduction to basic acting skills and the problems of performance. Concentrates on expanding a range of expression and ability to respond to and analyze dramatic text. Designed for students with little or no experience in acting.
2,TA 7 Introduction to Acting,"Presents the basic techniques of performance on stage focusing on the theatrical imagination. Explores movement, voice, improvisation, scene interpretation, and other aspects of the actor in production. For theatre and non-theatre majors. May be offered in a distance-learning format. Transfer Information: Transferable to both UC and CSU Limitations on Enrollment: None Requisites: None Additional Requisite Information: None Toggle Additional Course Details Grade Options: Letter Grade Methods Pass/No Pass Fees: Materials fee may apply. Repeatability: Not repeatable Toggle General Education and Transfer Options CSU Area C1 - Arts Cabrillo College General Education Area C: Arts and Humanities Toggle Learning Outcomes Upon successful completion of this course, students should be prepared to: 1. Select, analyze, and perform selections from dramatic texts utilizing the performance skills of memorization, vocal projection, spatial awareness, stage directions and physical expression. Toggle Units and Hours Minimum Credit Units 3.0 Total Course In-Class (Contact) Hours 54.0 Maximum Credit Units 3.0 Detail Weekly Student Hours In Class Lecture Hours 3.0 Lab Hours 0.0 Activity Hours 0.0 Course Student Hours Course Duration (Weeks) 18.0 Hours per unit divisor 54.0 Course In-Class (Contact) Hours Lecture 54.0 Lab 0.0 Activity 0.0 Total 54.0 See Open Sections Connect with an Academic Counselor",THEA 20,Introductory Studies in Acting,Introduction to basic acting skills and the problems of performance. Concentrates on expanding a range of expression and ability to respond to and analyze dramatic text. Designed for students with little or no experience in acting.
3,MUS 75 Musical Theatre Production,"Rehearsal and performance of musical and musical comedy literature with a concentration on all aspects of the production related to professional performance; audition by musical theatre staff is required for enrollment. Some of the class hours for this course may be scheduled in a To Be Arranged (TBA) format. May be offered in a distance-learning format. Transfer Information: Transferable to both UC and CSU Limitations on Enrollment: Audition required. Requisites: None Additional Requisite Information: None Toggle Additional Course Details Grade Options: Letter Grade Methods Pass/No Pass Fees: Materials fee may apply. Repeatability: This course may be taken no more than four times, including in any combination with the following course(s): TA 27, 29, 122, 75. Toggle General Education and Transfer Options Toggle Learning Outcomes Upon successful completion of this course, students should be prepared to: 1. Perform in a professional production, synthesizing musical, dramatic and physical components of musical theatre. Toggle Units and Hours Minimum 1 Unit - Maximum 3 Units Minimum Credit Units 1.0 Total Course In-Class (Contact) Hours 54.0 - 162.0 Maximum Credit Units 3.0 Detail Weekly Student Hours In Class Lecture Hours 0.0 - 0.0 Lab Hours 3.0 - 9.0 Activity Hours 0.0 - 0.0 Course Student Hours Course Duration (Weeks) 18.0 Hours per unit divisor 54.0 Course In-Class (Contact) Hours Lecture 0.0 - 0.0 Lab 54.0 - 162.0 Activity 0.0 - 0.0 Total 54.0 - 162.0 See Open Sections Connect with an Academic Counselor",THEA 20,Introductory Studies in Acting,Introduction to basic acting skills and the problems of performance. Concentrates on expanding a range of expression and ability to respond to and analyze dramatic text. Designed for students with little or no experience in acting.
4,TA 29 Rehearsal and Performance,"Presents the rehearsal and performance of the Theatre Arts stage production for the current semester. Must audition and be cast in current Theatre Arts production. May be offered in a distance-learning format. Transfer Information: Transferable to both UC and CSU Limitations on Enrollment: None Requisites: Co-Requisite TA27 - Theatre Production Workshop OR Co-Requisite TA28 - Backstage Theatre OR Co-Requisite TA33 - Makeup and Masks OR Co-Requisite TA34 - Costume Workshop OR Co-Requisite TA35 - Scene Painting Additional Requisite Information: None Toggle Additional Course Details Grade Options: Letter Grade Methods Pass/No Pass Fees: None Repeatability: This course may be taken no more than four times, including in any combination with the following course(s): TA 27, 122, 75, MUS 75. Toggle General Education and Transfer Options",THEA 20,Introductory Studies in Acting,Introduction to basic acting skills and the problems of performance. Concentrates on expanding a range of expression and ability to respond to and analyze dramatic text. Designed for students with little or no experience in acting.
5,TA 10A Basic Acting Techniques,"Examines major theories of acting within a framework of lecture, exercises and scene work; focus is on characterization, theatrical imagination, stage movement and vocal projection. Some of the class hours for this course may be scheduled as To Be Arranged (TBA). May be offered in a distance-learning format. Transfer Information: Transferable to both UC and CSU Limitations on Enrollment: None Requisites: None Additional Requisite Information: None Toggle Additional Course Details Grade Options: Letter Grade Methods Pass/No Pass Fees: Materials fee may apply. Repeatability: Not repeatable Toggle General Education and Transfer Options",THEA 20,Introductory Studies in Acting,Introduction to basic acting skills and the problems of performance. Concentrates on expanding a range of expression and ability to respond to and analyze dramatic text. Designed for students with little or no experience in acting.
6,TA 13A Beginning Improvisation,"Exploration of theater games and improvisation to develop group consciousness and trust with ensemble-building techniques incorporating: movement, imagination, enthusiasm, curiosity, collaboration techniques, and appropriate risk-taking. For actors and those working in careers requiring negotiation and collaboration, emphasizing skills in listening, speaking and observing. Covers the creation of nonscripted life stories and situations. Some of the class hours for this course may be scheduled as To Be Arranged (TBA). May be offered in a distance-learning format. Transfer Information: Transferable to both UC and CSU Limitations on Enrollment: None Requisites: None Additional Requisite Information: None Toggle Additional Course Details Grade Options: Letter Grade Methods Pass/No Pass Fees: Materials fee may apply. Repeatability: Not repeatable Toggle General Education and Transfer Options Cabrillo College General Education Area C: Arts and Humanities Toggle Learning Outcomes Upon successful completion of this course, students should be prepared to: 1. Demonstrate the essentials of collaborative story building in performance of non-scripted theatre in comic and serious genres. Toggle Units and Hours Minimum Credit Units 3.0 Total Course In-Class (Contact) Hours 72.0 Maximum Credit Units 3.0 Detail Weekly Student Hours In Class Lecture Hours 3.0 Lab Hours 1.0 Activity Hours 0.0 Course Student Hours Course Duration (Weeks) 18.0 Hours per unit divisor 54.0 Course In-Class (Contact) Hours Lecture 54.0 Lab 18.0 Activity 0.0 Total 72.0 See Open Sections Connect with an Academic Counselor",THEA 20,Introductory Studies in Acting,Introduction to basic acting skills and the problems of performance. Concentrates on expanding a range of expression and ability to respond to and analyze dramatic text. Designed for students with little or no experience in acting.
7,TA 75 Musical Theatre Production,"Rehearsal and performance of musical and musical comedy literature with a concentration on all aspects of the production related to professional performance; audition by musical theatre staff is required for enrollment. Some of the class hours for this course may be scheduled in a To Be Arranged (TBA) format. May be offered in a distance-learning format. Transfer Information: Transferable to both UC and CSU Limitations on Enrollment: Audition required. Requisites: None Additional Requisite Information: None Toggle Additional Course Details Grade Options: Letter Grade Methods Pass/No Pass Fees: Materials fee may apply. Repeatability: This course may be taken no more than four times, including in any combination with the following course(s): TA 27, 29, 122, MUS 75. Toggle General Education and Transfer Options Toggle Learning Outcomes Upon successful completion of this course, students should be prepared to: 1. Synthesize musical, dramatic and physical components of musical theater performing through participation in a professional production. Toggle Units and Hours Minimum 1 Unit - Maximum 3 Units Minimum Credit Units 1.0 Total Course In-Class (Contact) Hours 54.0 - 162.0 Maximum Credit Units 3.0 Detail Weekly Student Hours In Class Lecture Hours 0.0 - 0.0 Lab Hours 3.0 - 9.0 Activity Hours 0.0 - 0.0 Course Student Hours Course Duration (Weeks) 18.0 Hours per unit divisor 54.0 Course In-Class (Contact) Hours Lecture 0.0 - 0.0 Lab 54.0 - 162.0 Activity 0.0 - 0.0 Total 54.0 - 162.0 See Open Sections Connect with an Academic Counselor",THEA 20,Introductory Studies in Acting,Introduction to basic acting skills and the problems of performance. Concentrates on expanding a range of expression and ability to respond to and analyze dramatic text. Designed for students with little or no experience in acting.
8,TA 10B Intermediate Acting,"Explores at an intermediate level theories, techniques and acting styles use in the preparation and performance of a theatrical role. Emphasizes deepening understanding of the acting process through character analysis. Some of the class hours for this course may be scheduled as To Be Arranged (TBA). May be offered in a distance-learning format. Transfer Information: Transferable to both UC and CSU Limitations on Enrollment: None Requisites:",THEA 20,Introductory Studies in Acting,Introduction to basic acting skills and the problems of performance. Concentrates on expanding a range of expression and ability to respond to and analyze dramatic text. Designed for students with little or no experience in acting.
9,TA 10C Advanced Acting,"Presents intensive script analysis, scene study (period and modern) and critiques using in-class rehearsals and performances of student selected scenes building upon skills learned in Intermediate Acting. Some of the class hours for this course may be scheduled as To Be Arranged (TBA). May be offered in a distance-learning format. Transfer Information: Transferable to both UC and CSU Limitations on Enrollment: None Requisites:",THEA 20,Introductory Studies in Acting,Introduction to basic acting skills and the problems of performance. Concentrates on expanding a range of expression and ability to respond to and analyze dramatic text. Designed for students with little or no experience in acting.
