,VCCS Course,VCCS Description,VT Course Code,VT Course Title,VT Description
0,ACC 211 PRINCIPLES OF ACCOUNTING I,"Introduces accounting principles with respect to financial reporting. Demonstrates how decision makers use accounting information for reporting purposes. Focuses on the preparation of accounting information and its use in the operation of organizations, as well as methods of analysis and interpretation of accounting information.",ACIS 2115,PRINCIPLES OF ACCOUNTING,"Introduction to financial and managerial accounting. 2115: Emphasis on the financial accounting cycle. Discusses accounting information uses, fraud, and internal controls. Analysis of financial statement elements: assets, liabilities, stockholders’ equity, revenues, and expenses. 2116: Emphasis on budgeting and accounting information decision-making. Discusses management accounting and cost concepts. Use of job order costing and cost value profit relationships. Use of variable costing and segment reporting. Create external financial reporting documents."
1,ACC 212 PRINCIPLES OF ACCOUNTING II,"Introduces accounting principles with respect to cost and managerial accounting. Focuses on the application of accounting information with respect to product costing, as well as its use within the organization to provide direction and to judge performance.",ACIS 2116,PRINCIPLES OF ACCOUNTING,"Introduction to financial and managerial accounting. 2115: Emphasis on the financial accounting cycle. Discusses accounting information uses, fraud, and internal controls. Analysis of financial statement elements: assets, liabilities, stockholders’ equity, revenues, and expenses. 2116: Emphasis on budgeting and accounting information decision-making. Discusses management accounting and cost concepts. Use of job order costing and cost value profit relationships. Use of variable costing and segment reporting. Create external financial reporting documents."
2,ADJ 201 CRIMINOLOGY,Studies current and historical data pertaining to criminal and other deviant behavior. Examines theories that explain crime and criminal behavior in human society.,SOC 2404,DEVIANT BEHAVIOR,"Examines behaviors considered deviant in the United States. Explores major types of deviant behavior, such as corporate crimes, extremist groups, sexual deviance, violence, suicide, alcoholism and other drug addictions, and cyber deviance. Includes sociological theories that explain them."
3,ADJ 247 CRIMINAL BEHAVIOR,Introduces and evaluates the concepts of normal and abnormal behavior. Focuses on the psychological and sociological aspects of criminal and other deviant behavior patterns.,SOC 2404,DEVIANT BEHAVIOR,"Examines behaviors considered deviant in the United States. Explores major types of deviant behavior, such as corporate crimes, extremist groups, sexual deviance, violence, suicide, alcoholism and other drug addictions, and cyber deviance. Includes sociological theories that explain them."
4,AGR 143 INTRO TO AGRIBUSINESS AND FINANCIAL MANAGEMENT,"Introduces agriculture's importance to society and ways to start a farm or agribusiness.  Evaluates forms of business including cooperatives and create financial statements and reports necessary for routine accounting and tax preparation.  Utilizes financial tools for decision making, budgets and time value of money.  Explores retirement, transition planning, personal financial management, and capital acquisition techniques.",AAEC 2434,FOUNDATIONS IN AGRIBUS,Introduction to the primary management tools as they relate to farm production enterprises and agribusinesses. Principles and concepts of preparing farm and agribusiness financial statements and their analysis.  Application of budgeting and risk management.
5,ART 101 HISTORY OF ART: PREHISTORIC TO GOTHIC,"Surveys the history and interpretation of architecture, painting and sculpture from the prehistoric era through the Gothic. This is a Passport and UCGS transfer course.",ART 2385,SURVEY OF THE HISTORY OF WESTERN ART,"Survey of the visual arts and architecture from prehistoric times to the present day with emphasis on Western Europe including functions of visual arts and architecture, terms of visual literacy and methods of formal visual analysis. 2385: Focus on prehistoric time to the thirteenth century including Paleolithic, Neolithic, Ancient Near Eastern, Egyptian, Aegean, Greek, Roman, Byzantine, medieval and early Gothic art.  2386: Focus on late Gothic through present day including Renaissance, Baroque, 19th (Romanticism to Post-Impressionism) and 20th centuries (cubism to postmodernism)."
6,ART 102 HISTORY OF ART: RENAISSANCE TO MODERN,"Surveys the history and interpretation of architecture, painting and sculpture from the Renaissance through the modern era. This is a Passport and UCGS transfer course.",ART 2386,SURVEY OF THE HISTORY OF WESTERN ART,"Survey of the visual arts and architecture from prehistoric times to the present day with emphasis on Western Europe including functions of visual arts and architecture, terms of visual literacy and methods of formal visual analysis. 2385: Focus on prehistoric time to the thirteenth century including Paleolithic, Neolithic, Ancient Near Eastern, Egyptian, Aegean, Greek, Roman, Byzantine, medieval and early Gothic art.  2386: Focus on late Gothic through present day including Renaissance, Baroque, 19th (Romanticism to Post-Impressionism) and 20th centuries (cubism to postmodernism)."
7,ART 121 FOUNDATIONS OF DRAWING,"Develops basic drawing skills and understanding of visual language through studio instruction/lecture. Introduces concepts such as line, proportion, space, perspective, value and composition as applied to still life, landscape and figure. Uses drawing media such as pencil, charcoal and ink wash. Includes field trips and gallery assignments as appropriate. This is a UCGS transfer course.",ART 1404,PRINCIPLES OF DRAWING,"Elements, methods and skills fundamental to drawing. Investigates formal elements fundamental to drawing such as line, space, form, value and texture, through drawing tools and methods. Emphasis on controlled use of common drawing media for representational and expressive purposes. Examination of multiple intercultural viewpoints through exercises and discussion investigating topics that vary by semester. Application of formal analysis and interpretive strategies through critique. Lecture (1H,1C), Lab (3L,1C), Design Lab/Studio (2L,1C). RESOURCE CHARGE. (1H,5L,3C)"
8,ART 131 TWO-DIMENSIONAL DESIGN,"Introduces the elements and principles of design as applied to two-dimensional studio projects. Introduces two-dimensional media, techniques, compositional strategies, and color concepts and interactions. Supports conceptual development through introduction to historical and contemporary practices and critical analysis. May include field trips as required. This is a UCGS transfer course.",ART 1204,PRINCIPLES OF 2D ART AND DESIGN,"Elements and methods fundamental to two-dimensional art and design. Investigates formal elements and principles of two-dimensional design including shape, color, balance, rhythm, hierarchy, and unity. Exploration of analog and digital strategies in image making through iterative, hands-on processes. Interpretation of historical and contemporary two-dimensional art and design from around the globe to discover communication strategies in an intercultural context. Application of formal analysis and interpretive strategies through critique. Lecture (1H,1C), Lab (3L,1C), Design Lab/Studio (2L,1C). RESOURCE CHARGE. (1H,5L,3C)"
9,ART 132 THREE-DIMENSIONAL DESIGN,"Introduces the elements and principles of design as applied to three-dimensional studio projects. Introduces three-dimensional media, techniques, compositional strategies, and color concepts and interactions. Supports conceptual development through introduction to historical and contemporary practices and critical analysis. May include field trips as required. This is a UCGS transfer course.",ART 1214,PRINCIPLES OF 3D ART AND DESIGN,"Elements and methods fundamental to three-dimensional art and design. Investigates formal elements and principles of three-dimensional design including line, plane, form, mass, space, scale and surface. Exploration of analog and digital strategies in three-dimensional object making through iterative, hands-on processes. Interpretation of historical and contemporary three-dimensional art and design from around the globe to discover communication strategies in an intercultural context. Application of formal analysis and interpretive strategies through critique. Lecture (1H,1C), Lab (3L,1C), Design Lab/Studio (2L,1C). RESOURCE CHARGE. (1H,5L,3C)"
