,VCCS Course,VCCS Description,W&M Course Code,W&M Course Title,W&M Description
0,"ACC 211 PRINCIPLES OF ACCOUNTING I TAKEN WITH
ACC 212 PRINCIPLES OF ACCOUNTING II","Introduces accounting principles with respect to financial reporting. Demonstrates how decision makers use accounting information for reporting purposes. Focuses on the preparation of accounting information and its use in the operation of organizations, as well as methods of analysis and interpretation of accounting information.",BUAD 203,Principles of Accounting,"A study of the use and preparation of financial information and the accounting system as an interpretative tool to communicate information about a variety of economic events to both internal and external users. Topics covered include the preparation and interpretation of financial statements for external users as well as managerial uses of accounting data, cost analysis, budgeting and performance evaluation. (Required for admission to Business Majors Program.)"
1,ADJ 100 SURVEY OF CRIMINAL JUSTICE,"Presents an overview of the United States criminal justice system; introduces the major system components--law enforcement, judiciary, and corrections.",,,
2,ADJ 105 THE JUVENILE JUSTICE SYSTEM,"Presents the evolution, philosophy, structures and processes of the American juvenile delinquency system; surveys the right of juveniles, dispositional alternatives, rehabilitation methods and current trends.",,,
3,ADJ 106 CRIME AND JUSTICE IN AMERICA,Description not found,,,
4,ADJ 107 SURVEY OF CRIMINOLOGY,Surveys the volume and scope of crime; considers a variety of theories developed to explain the causation of crime and criminality.,,,
5,ADJ 133 ETHICS AND CRIMINAL JUSTICE PROFESSIONAL,"Examines ethical dilemmas pertaining to the criminal justice system, including those in policing, courts and corrections. Focuses on some of the specific ethical choices that must be made by the criminal justice professional.",,,
6,ADJ 145 CORRECTIONS AND THE COMMUNITY,Studies and evaluates the relationships and interactions between correctional organizations and free society. Focuses on the shared responsibility of the community and corrections agencies to develop effective programs for management and treatment of criminal offenders.,,,
7,ADJ 201 CRIMINOLOGY,Studies current and historical data pertaining to criminal and other deviant behavior. Examines theories that explain crime and criminal behavior in human society.,SOCL 302,Criminology,CSI NQR This course examines justice and civility in law and law enforcement. Two interrelated parts are explored: (1) the creation and administration of criminal law; and (2) the development of patterns of behavior that violate criminal laws.
8,ADJ 205 CAUSES OF CRIME AND DELINQUENCY,Description not found,,,
9,ADJ 216 ORGANIZED CRIME AND CORRUPTION,"Addresses judicial efforts against and involvement in corruption, drug, vice, and white-collar crimes, both individual and organized.",,,
10,ADJ 229 LAW ENFORCEMENT AND THE COMMUNITY,Examines the process through which community problems are identified and addressed by police departments in cooperation with the community. Considers current efforts by law enforcement officers to achieve an effective working relationship with the community.,,,
11,ADJ 234 TERRORISM AND COUNTER-TERRORISM,"Surveys the historical and current practices of terrorism that are national, transnational, or domestic in origin. Includes biological, chemical, nuclear, and cyber-terrorism. Teaches the identification and classification of terrorist organizations, violent political groups and issue-oriented militant movements. Examines investigative methods and procedures utilized in counter terrorist efforts domestically and internationally.",,,
12,ADJ 235 RESEARCH IN CRIMINAL JUSTICE,Description not found,,,
